Name,z,RA_J2000,Dec _J2000,wd,wserr,p30d,p30serr,ellipd,ellipderr,etad,etaerr,c0.4R500,ec0.4R500,0.4R500_kpc/h71
,,deg ,deg,,,,,,,degrees,degrees,,,kpc/h71
ACCEPT2.0 Name,Redshift,ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,Centroid shift in 20 bins inside 0.4R500,Centroid shift error,P3/P0 power law ratio (r<0.4R500),P3/P0 power law ratio,Ellipticity (ratio of minor/major axes) inside 0.4R500,Error on Ellipticity,Position Angle in degrees E of N,Position Angle error,Concentration (flux < 0.15 R500/flux < 0.4 R500),error on concentration,Rmax for the quantities in this table
WHL_J092207.6+034558,0.28,140.5428,3.7775,0.1197,0.0124,9.05E-08,2.8E-07,0.876,0.021,45.480,5.084,-,-,547
ABELL_0795,0.136,141.0241,14.1739,0.0278,0.0048,1.01E-08,1.0E-08,0.891,0.005,-64.840,1.362,0.582,0.009,430
UGC_05088_GROUP,0.027,143.3573,34.0481,0.0222,0.0032,2.50E-07,9.9E-08,0.950,0.008,-48.740,5.436,0.631,0.055,171
WHL_J093820.9+520243,0.36,144.5847,52.0484,0.0928,0.0046,2.92E-07,1.2E-07,0.860,0.009,-52.630,2.236,0.453,0.016,427
ZwCl_0949.6+5207,0.214,148.2056,51.8842,0.0283,0.0006,2.04E-10,1.7E-09,0.891,0.004,-28.930,1.000,0.694,0.006,441
XMMU_J0954+1738,0.828,148.5707,17.6349,0.0165,0.0068,3.20E-07,5.7E-07,0.939,0.027,71.150,10.810,-,-,293
400d_J0956+4107,0.587,149.0114,41.1226,0.0585,0.0141,7.05E-08,3.5E-07,0.820,0.019,-30.650,3.114,-,-,305
ABELL_0907,0.153,149.5917,-11.064,0.0208,0.0009,8.08E-09,4.0E-09,0.837,0.003,-21.210,0.538,0.671,0.006,460
PLCKESZ_G264.41+19.48,0.24,150.0067,-30.2772,0.0097,0.0023,8.28E-09,2.6E-08,0.857,0.008,-54.210,1.817,0.426,0.014,496
MCXC_J1000.5+4409,0.154,150.1307,44.1458,0.0689,0.0037,7.17E-07,1.8E-07,0.805,0.011,-77.440,1.626,0.551,0.022,340
MACS_J1006.9+3200,0.359,151.728,32.0286,0.0756,0.0082,4.49E-07,3.3E-07,0.803,0.060,4.270,2.653,-,-,560
ZwCl_1006.1+1201,0.221,152.1981,11.7908,0.0546,0.0057,2.91E-07,6.6E-08,0.914,0.006,-7.110,2.278,0.423,0.010,445
MCXC_J1010.5-1239,0.301,152.6355,-12.6633,0.0949,0.0040,5.53E-08,4.9E-08,0.913,0.014,-6.198,2.705,0.424,0.009,451
ABELL_0963,0.206,154.2652,39.0471,0.0203,0.0011,2.33E-08,1.2E-08,0.940,0.026,3.145,2.452,0.579,0.006,479
ABELL_3444,0.253,155.9592,-27.2564,0.0439,0.0019,3.99E-08,1.9E-08,0.845,0.005,-21.750,0.914,0.678,0.005,496
ABELL_1033,0.126,157.9363,35.0407,0.0420,0.0013,1.43E-07,3.0E-08,0.929,0.004,22.850,1.755,0.575,0.006,454
SDSSCGB_08842,0.426,159.6786,48.8224,0.0117,0.0034,9.43E-08,1.2E-07,0.967,0.022,73.970,16.490,-,-,443
ABELL_1068,0.138,160.1855,39.9534,0.0291,0.0009,1.40E-08,7.3E-09,0.849,0.005,-45.910,0.892,0.734,0.006,425
BLOX_J1056.9-0337.3,0.823,164.2327,-3.6272,0.2853,0.0112,2.25E-06,6.0E-07,0.822,0.107,89.140,1.606,0.318,0.017,360
MACS_J1105.7-1014,0.466,166.4435,-10.2438,0.0278,0.0054,7.74E-09,1.2E-07,0.940,0.033,-12.710,10.680,-,-,531
MACS_J1108.9+0906,0.449,167.2304,9.0989,0.0418,0.0062,1.13E-08,7.2E-08,0.913,0.012,17.270,4.467,0.425,0.018,412
NGC_3551,0.032,167.4352,21.7591,0.3083,0.0030,8.56E-09,4.2E-09,0.939,0.004,32.610,2.646,0.630,0.022,253
ABELL_1201,0.169,168.2278,13.4339,0.0363,0.0022,4.10E-07,7.4E-08,0.792,0.004,-24.100,0.671,0.424,0.008,450
WARP_J1113.0-2615,0.725,168.2717,-26.261,0.0571,0.0130,7.54E-07,6.2E-07,0.950,0.037,-79.200,16.700,-,-,266
ABELL_1204,0.171,168.3351,17.5944,0.0399,0.0041,5.37E-08,2.4E-08,0.933,0.010,43.820,4.082,0.803,0.008,387
SDSS_J1115+5319_CLUSTER,0.466,168.8116,53.3333,0.0368,0.0045,1.79E-07,1.6E-07,0.947,0.017,-41.070,9.875,-,-,525
MACS_J1115.8+0129,0.352,168.9661,1.499,0.0257,0.0026,8.53E-09,9.3E-09,0.861,0.006,-31.290,1.386,0.700,0.008,543
400d_J1120+2326,0.562,170.2379,23.4419,0.1128,0.0141,3.64E-06,1.2E-06,0.964,0.031,-19.380,29.410,-,-,299
MCXC_J1130.0+3637,0.06,172.5131,36.637,0.0258,0.0019,8.98E-07,1.2E-07,0.857,0.006,76.220,1.379,0.508,0.028,267
ClG_1137.5+6625,0.782,175.0935,66.1376,0.0776,0.0097,2.27E-08,9.1E-08,0.937,0.014,-72.300,7.667,-,-,286
WHL_J114224.8+583205,0.311,175.598,58.5203,0.0903,0.0067,2.15E-07,1.0E-07,0.900,0.007,8.638,2.637,0.273,0.009,538
MACS_J1149.6+2223,0.5444,177.3994,22.3986,0.0340,0.0071,2.85E-07,1.3E-07,0.809,0.009,-35.950,1.430,0.297,0.014,446
ABELL_1413,0.143,178.8247,23.4057,0.0213,0.0005,6.82E-08,8.1E-09,0.869,0.002,-12.490,0.503,0.629,0.003,523
ABELL_1423,0.213,179.3218,33.611,0.0214,0.0040,7.06E-09,1.6E-08,0.901,0.008,56.150,2.413,0.534,0.011,445
SDSS-C4-DR3_3144,0.081,179.9675,55.5348,0.0200,0.0033,1.70E-08,2.4E-08,0.994,0.008,50.570,37.860,0.635,0.021,243
PLCKESZ_G292.51+21.98,0.3,180.2724,-39.8745,0.0889,0.0066,2.01E-07,1.1E-07,0.901,0.025,-4.441,2.489,-,-,545
ABELL_1446,0.103,180.5176,58.0332,0.0416,0.0058,1.56E-07,3.9E-08,0.977,0.005,-48.850,5.208,0.355,0.009,353
400d_J1202+5751,0.677,180.5777,57.8659,0.0606,0.0146,5.29E-07,1.3E-06,0.897,0.068,82.380,15.160,-,-,251
MACS_J1206.2-0847,0.44,181.5504,-8.8005,0.0391,0.0034,1.48E-07,6.9E-08,0.918,0.009,-62.560,3.502,0.531,0.011,537
400d_J1206-0744,0.068,181.6325,-7.7407,0.0181,0.0048,1.58E-08,7.1E-08,0.945,0.015,66.470,8.328,-,-,304
MCXC_J1215.4-3900,0.119,183.853,-39.0355,0.0279,0.0057,2.19E-07,1.2E-07,0.946,0.009,59.960,6.406,0.282,0.016,451
NSCS_J121831+401236,0.32,184.6202,40.2075,0.0588,0.0064,8.38E-08,9.3E-08,0.919,0.014,-41.490,5.956,-,-,427
NSCS_J122648+215157,0.37,186.7123,21.8323,0.2997,0.0071,8.77E-07,3.7E-07,0.909,0.013,54.390,4.466,0.535,0.014,345
