Name, Z,RA,Dec, MCK0, MCK0_68min, MCK0_68max, MCK100, MCK100_68min, MCK100_68max, MCAlpha, MCAlpha_68min, MCAlpha_68max, MCChiSq, K10kpc_mcmc, K10kpc_mcmc_min, K10kpc_mcmc_max, K20kpc_mcmc, K20kpc_mcmc_min, K20kpc_mcmc_max
,,deg ,deg,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,,,,,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3
,,ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,MCMC Median Entropy excess,MCMC Entropy excess min 1 sigma,MCMC Entropy excess max 1 sigma,MCMC Median Entropy at 100 kpc,MCMC Entropy at 100 kpc min 1 sigma,MCMC Entropy entropy at 100 kpc max 1 sigma,MCMC Entropy power law slope,MCMC min entropy power law slope,MCMC max entropy power law slope,MCMC estimated reduced chi square,MCMC Entropy at 10 kpc,MCMC Min Entropy at 10 kpc,MCMC Max Entropy at 10 kpc,MCMC Entropy at 20 kpc,MCMC Min Entropy at 20 kpc,MCMC Max Entropy at 20 kpc
ABELL_3391,0.051,96.5785,-53.6926,299.5,186.3,308,347.1,328.9,366.4,1.51,0.8,1.58,1.97,265.6,214.8,309.5,275.1,236.6,312.7
ABELL_3395_SW,0.051,96.6806,-54.5435,13.4,-139,104.1,313.4,297.6,326.6,0.36,0.25,0.48,2.34,144.9,109.5,179.1,182.2,155.9,208.8
ABELL_3399,0.203,99.3088,-48.4719,64.8,37.2,83,223.8,211.7,240.9,0.89,0.77,0.98,0.94,83.3,69.5,98.7,102.2,90,114.3
PLCKESZ_G167.65+17.64,0.174,99.5162,47.7986,273.4,199.4,291.1,286.9,257.4,307.1,1.89,1.1,1.92,0.61,249,204.1,291.3,251.4,209.4,291.7
ABELL_S0592,0.222,99.7020,-53.9742,29,18,37,172.3,163.7,180.6,0.94,0.84,1.02,0.68,45.4,39.6,50.7,60.8,55.8,65.7
ABELL_3404,0.167,101.3700,-54.2284,41.8,15.9,59.3,214.5,206.8,230.7,0.95,0.83,1.02,0.54,60.4,44,76.1,79.9,66.6,92.4
MACS_J0647.8+7015,0.5907,101.9585,70.2471,135.8,79.6,172.8,196.5,182.4,234.9,1.43,1.11,1.61,0.07,135.2,89,173.7,141.3,96.9,175.6
ABELL_0562,0.11,103.3394,69.3310,59.3,-37.3,111.5,210,196.7,218.7,0.51,0.29,0.85,1.04,108.4,89,127.2,127.3,113.7,141.7
MACS_J0717+3745,0.546,109.3756,37.7600,146.9,-83.3,166.2,372.6,369.6,404,0.58,0.34,0.62,0.95,171.7,126,217.8,215.9,180.5,250
ABELL_0576,0.0389,110.3766,55.7616,36.8,13.5,50.3,216.3,211,222.6,0.7,0.57,0.81,2.18,72.6,66.7,78.8,95.5,91.1,99.8
ABELL_0578,0.087,111.2230,66.9854,15.4,-35.8,44.8,259.2,222.2,281.5,1.06,0.71,1.42,0.06,36.8,20.7,53.5,61.4,50.6,72.8
ABELL_0586,0.171,113.0847,31.6325,108.8,93.7,125.5,186.1,179.5,196.4,1.28,1.17,1.39,1.01,114.2,100,128.3,120.2,107.2,132.7
ZwCl_0735.7+7421,0.216,115.4346,74.2440,16.2,14.8,17.5,139.3,136.2,141.6,1.15,1.12,1.19,6.05,24.8,24.1,25.6,35.4,34.7,36.2
FBQS_J074417.4+375317,1.0686,116.0724,37.8878,-18,-40,-12.7,143.6,138.8,154.2,0.81,0.67,0.86,0.1,5.2,0.8,9.2,25.8,24.1,27.7
MACS_J0744.9+3927,0.698,116.2201,39.4573,56.9,40.4,65.6,146.3,140.3,155.9,1.14,0.99,1.22,0.26,61.3,51,71.6,70,61.6,78.2
PKS_0745-19,0.103,116.8795,-19.2947,11.8,11,12.4,127.1,125.6,128.3,1.3,1.28,1.32,5.65,17.5,17.1,18,26,25.7,26.3
ABELL_0598,0.189,117.8550,17.5139,7.8,6.4,9.3,113.6,109.6,117.8,1.28,1.23,1.33,1.42,13.4,12.4,14.4,21.4,20.4,22.3
