Names,Redshift,NH,RA,Dec,XP_RAdeg,XP_Dedeg,Offset,CenterIDFlag,ProfileFlag,OBSIDs
, ,10+22cm^-2,deg ,deg,deg,deg,arcsec, ,,
ACCEPT2.0 Name,NED Redshift,Galactic Hydrogen Column (Stark et al. 1992),ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,ACCEPT2.0 X-ray Peak RA J2000,ACCEPT2.0 X-ray Peak Dec J2000,Difference between peak and aperture center,if peak or centroid centered ,Y means an entropy profile is in Table 5/6,Chandra ObsIDs used in the ACCEPT2.0 analysis
ABELL_3911,0.097,0.0151,341.6117,-52.7398,341.5639,-52.7242,118.4,centroid,Y,   15304
ABELL_2485,0.247,0.0326,342.1291,-16.1079,342.1291,-16.1078,0,peak,Y,   10439
ABELL_S1063,0.347,0.0181,342.1835,-44.5304,342.1846,-44.5301,3,peak,Y,    4966
ABELL_3921,0.093,0.0283,342.4861,-64.4302,342.491,-64.4284,10,centroid,Y,    4973
ABELL_2507,0.196,0.056,344.2194,5.5046,344.2191,5.5043,1.4,peak,Y,   12248
SPT-CLJ2259-6057,0.75,0.0198,344.7541,-60.9603,344.7541,-60.9603,0,peak,N,   13498
WARP_J2302.8+0843,0.722,0.0504,345.7006,8.7307,345.7006,8.7312,2,peak,N,     918
ABELL_2537,0.295,0.0437,347.0929,-2.1916,347.093,-2.1916,0.4,peak,Y,    9372    4962
MCXC_J2311.5+0338,0.3,0.052,347.8885,3.6353,347.8885,3.6356,1,peak,Y,   11730    3288
ABELL_2550,0.123,0.0208,347.8993,-21.7462,347.8963,-21.7449,11,centroid,Y,    2225
ABELL_2556,0.087,0.0204,348.2556,-21.6344,348.2559,-21.6346,1.1,peak,Y,    2226
ABELL_S1101,0.058,0.0183,348.4946,-42.7253,348.4949,-42.7263,3.7,peak,Y,   11758
RCS_J2318.5+0034,0.78,0.0404,349.6296,0.5674,349.6282,0.5671,5,centroid,N,    4938   11718
UGC_12491,0.0174,0.1217,349.6596,42.9581,349.6596,42.9581,0.1,peak,Y,    7896
NGC_7618,0.0173,0.1193,349.9501,42.8532,349.9501,42.8532,0.2,peak,Y,    7895
ABELL_2589,0.0414,0.0422,350.9894,16.7772,350.9888,16.7773,2,peak,Y,    7190    3210    7340
ABELL_2597,0.085,0.0249,351.3326,-12.1242,351.3324,-12.1243,0.9,peak,Y,     922    7329    6934
SPT-CL_J2331-5051,0.571,0.0154,352.9633,-50.8649,352.9632,-50.866,3.9,peak,N,    9333
ABELL_2626,0.055,0.0434,354.1267,21.1468,354.1269,21.1465,1.4,peak,Y,    3192
ABELL_2627,0.126,0.0429,354.1754,23.9248,354.1754,23.9248,0,peak,N,   11732
SPT-CL_J2337-5942,0.781,0.0269,354.3532,-59.7064,354.3532,-59.7064,0,peak,N,   11859
ABELL_2631,0.273,0.038,354.4082,0.2672,354.4107,0.2681,9.4,centroid,Y,   11728
ABELL_4023,0.193,0.0847,355.0288,-85.1974,355.0288,-85.1985,3.9,peak,N,   15124
SPT-CL_J2341-5119,0.998,0.0179,355.302,-51.3287,355.302,-51.3287,0,peak,N,   11799    9345
ABELL_2645,0.251,0.0262,355.3232,-9.0165,355.3199,-9.0253,33.6,centroid,N,   14013
MCXC_J2344.2-0422,0.079,0.0356,356.0769,-4.3816,356.0772,-4.3813,1.4,peak,Y,   12278
SPT-CL_J2344-4243,0.62,0.0197,356.1833,-42.7201,356.1833,-42.7201,0,peak,N,   13401
ABELL_2657,0.04,0.0554,356.2389,9.1921,356.2386,9.1919,1.5,peak,Y,    4941
SPT-CLJ2345-6405,0.94,0.0258,356.2485,-64.0963,356.2485,-64.0963,0,peak,N,   13500
HCG_097,0.022,0.0364,356.8459,-2.3005,356.8451,-2.2999,3.6,peak,Y,    4988
ABELL_4038,0.028,0.0154,356.9374,-28.1406,356.9299,-28.143,25.4,centroid,Y,    4992
ABELL_S1150,0.261,0.011,356.9555,-35.5867,356.9562,-35.5875,3.5,peak,N,   10484
ABELL_2665,0.056,0.0604,357.7109,6.1503,357.7095,6.1514,6.3,centroid,N,   12280
ABELL_2667,0.23,0.0165,357.9141,-26.0837,357.9142,-26.0841,1.3,peak,Y,    2214
ABELL_2670,0.076,0.0292,358.5571,-10.4192,358.5368,-10.4252,75,centroid,Y,    4959
SPT-CL_J2355-5056,0.35,0.0185,358.9477,-50.9281,358.9469,-50.9272,3.5,peak,N,   11998   11746
SPT-CL_J2359-5009,0.76,0.0144,359.9283,-50.1688,359.9296,-50.1693,3.5,peak,N,    9334   11742   11864   11997
3C_028,0.1953,0.0543,13.9635,26.4076,13.96,26.4101,14.7,centroid,N,    3233   15578   13458   13459
